dateTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVol,takerBuyQuoteVol,ignore
2021-04-01,1920.70000000,1920.70000000,863.60000000,1882.28000000,1.37023000,2021-04-01 23:59:59.999,2541.17290250,33,0.21604000,384.78408220,0
2021-04-02,1882.28000000,1882.28000000,1021.14000000,1882.28000000,26.60188000,2021-04-02 23:59:59.999,49900.52642670,71,26.36729000,49630.62262120,0
2021-04-03,1882.28000000,1882.28000000,1882.28000000,1882.28000000,11.88526000,2021-04-03 23:59:59.999,22371.38719280,41,11.88526000,22371.38719280,0
2021-04-04,1882.28000000,1882.28000000,1000.00000000,1882.28000000,15.12375000,2021-04-04 23:59:59.999,28414.25435830,60,14.99625000,28224.40686250,0
2021-04-05,1881.38000000,2120.69000000,200.00000000,2120.00000000,31.04596000,2021-04-05 23:59:59.999,51102.39272520,189,25.62636000,43060.61511600,0
2021-04-06,2120.00000000,2120.00000000,200.00000000,1900.00000000,124.18748000,2021-04-06 23:59:59.999,46004.71519450,339,112.37051000,35736.73619450,0
2021-04-07,1920.00000000,1920.00000000,1900.00000000,1900.00000000,15.50376000,2021-04-07 23:59:59.999,29622.35660000,109,13.87746000,26532.38660000,0
2021-04-08,1900.00000000,1900.00000000,850.00000000,900.00000000,24.18559000,2021-04-08 23:59:59.999,25227.99100000,181,16.75559000,17873.99100000,0
2021-04-09,900.00000000,1740.65000000,800.12000000,1671.02000000,57.93261000,2021-04-09 23:59:59.999,57991.76380050,246,45.43437000,45591.79995270,0
2021-04-10,1671.02000000,1671.02000000,1602.00000000,1671.02000000,40.02094000,2021-04-10 23:59:59.999,66783.47260580,163,39.02094000,65112.47260580,0
2021-04-11,1671.02000000,1671.02000000,417.73000000,1671.02000000,35.99559000,2021-04-11 23:59:59.999,57094.59631530,340,33.51175000,55944.49056160,0
2021-04-12,1671.02000000,1671.02000000,1000.00000000,1670.00000000,13.14033000,2021-04-12 23:59:59.999,21552.78133440,157,10.84033000,18044.78133440,0
2021-04-13,1670.00000000,1670.00000000,225.00000000,1000.00000000,32.54678000,2021-04-13 23:59:59.999,29021.36046000,118,27.47900000,27528.33480000,0
2021-04-14,1000.00000000,1000.00000000,226.00000000,1000.00000000,33.20939000,2021-04-14 23:59:59.999,32921.59110000,310,31.89939000,31868.39110000,0
2021-04-15,1000.00000000,1000.00000000,220.00000000,830.00000000,1.44918000,2021-04-15 23:59:59.999,1032.32426630,24,0.73315000,682.43000000,0
